iso3,proGres_code,gis_name,UNSD_name,main_office,main_office_short,hcr_region,hcr_subregion,code_op,excom,globalid
LIE,LIE,Liechtenstein,Liechtenstein,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{FF98E251-D293-447A-9773-497E9CBB9D15}
LTU,LTU,Lithuania,Lithuania,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,0,{72A8E462-5132-472E-9BBE-EA399C33F345}
LUX,LUX,Luxembourg,Luxembourg,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{DFDA3C6D-1EC8-4767-B8FC-94546BA0CD3C}
MDG,MAD,Madagascar,Madagascar,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{3F24B173-E2F7-4518-901E-38C980E94B06}
MWI,MLW,Malawi,Malawi,Southern Africa,Southern Africa,Africa,Southern Africa,MWI ABC,0,{7D9EF118-1CA3-4F94-A357-2739F522156A}
MYS,MLS,Malaysia,Malaysia,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,MYS ABC,0,{949567D4-B1B1-450F-88EF-C5AC7A5F3EE6}
MDV,MDV,Maldives,Maldives,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{4255D83C-3CDF-4055-916D-82207CB28842}
MLI,MLI,Mali,Mali,West and Central Africa,West and Central Africa,Africa,West Africa,MLI ABC,0,{1E2876D8-2ABF-4E86-BC0C-BBDD64651566}
MLT,MTA,Malta,Malta,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",ITA RO ABC,0,{897E4870-E075-44CA-AB89-2687CAC02B30}
MHL,MHL,Marshall Islands,Marshall Islands,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{FA2DEB4E-8910-4E42-B2A0-2F35A2D7AEC8}
MTQ,MAR,Martinique (FRA),Martinique,Americas ,Americas ,The Americas,North America and the Caribbean,,0,{809879D8-9954-4266-87B4-8A13990BC9FA}
MRT,MAU,Mauritania,Mauritania,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,MRT ABC,0,{71934B9D-1FCA-4013-ADBC-F7F8811362D1}
MUS,MTS,Mauritius,Mauritius,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{AC66C105-2C09-4CE2-8C03-BDAA3F364420}
MEX,MEX,Mexico,Mexico,Americas ,Americas ,Americas,Latin America,MEX ABC,0,{231457B7-EC13-4472-A1C4-83BE02A532B2}
FSM,FSM,Federated States of Micronesia,Micronesia (Federated States of),Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{9D019972-F93E-4EF9-AA87-F58CE9C14101}
MCO,MCO,Monaco,Monaco,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",FRA ABC,0,{6A13CAB1-BB2D-46D5-A5F5-C44539CFF202}
MNG,MNG,Mongolia,Mongolia,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{DE6B741D-5272-4C0A-903A-0B9D4FD74438}
MNE,MNE,Montenegro,Montenegro,Europe,Europe,Europe,South-Eastern Europe,BIH RO ABC,0,{ECFB6B46-AC37-4834-8E13-CF87F41C75A6}
MSR,MSR,Montserrat,Montserrat,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{5ACBF778-8673-43FF-9BA4-D73AFB8A7A15}
MAR,MOR,Morocco,Morocco,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,MAR ABC,0,{B7C36CA5-24FB-480E-B523-5AAFBB47D849}
MOZ,MOZ,Mozambique,Mozambique,Southern Africa,Southern Africa,Africa,Southern Africa,MOZ ABC,0,{C0855A25-7531-4D45-9979-7DB636B4CFC6}
MMR,MYA,Myanmar,Myanmar,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,MMR ABC,0,{58A108B5-A9D1-4CFF-B0B3-5C7F28E64CA5}
NAM,NAM,Namibia,Namibia,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{494FAC65-2286-4865-97D6-95F8076D9F53}
NRU,NRU,Nauru,Nauru,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{79723723-97FD-48C4-B37C-70F9E12CE1EC}
